text,labels
Yum! That was good 🤤,yummy
This makes me mad 🤬,anger
I’m lost 😕,confusion
I’m lost ☹,confusion
Eww that’s nasty 🤢,disgust
What does that mean? 🥺,confusion
Such a scary movie 😰,fear
I’m lost ☹,confusion
Feeling relaxed 😇,peaceful
Makes me sick 🥴,disgust
I adore you 😗,love
Disgusting behavior 🤮,disgust
You’re my everything 🩷,love
That’s gross 🤢,disgust
Anger boiling inside 🤬,anger
I miss them so much 😭,sadness
I’m lost 😓,confusion
I don't get it 😕,confusion
That seems fishy 🤔,suspicious
I love you 💕,love
I miss them so much 😭,sadness
This is hilarious 😅,joy
In a playful mood 😛,playful
Disappointed by the results 😞,disappointed
I adore you 💓,love
That’s so infuriating 😤,anger
What a funny joke 😹,joy
Really appreciate it 💐,gratitude
Really? Are you sure? 🤔,suspicious
That concert was awesome 🥳,excited
Huh? ☹,confusion
That scared me! 😱,fear
What a lovely day 🤭,happy
Feeling relaxed 😇,peaceful
That blew my mind 😳,surprise
You’re my everything 🫶🏻,love
Anger boiling inside 😾,anger
It didn’t go well 😞,disappointed
Feeling so good today 😺,happy
I could eat this forever 😋,yummy
I love you 😽,love
This means the world to me 😘,love
Makes me sick 🤢,disgust
That scared me! 😰,fear
Cool vibes only 😶‍🌫️,cool
So heartbroken 😭,sadness
Yuck! 😖,disgust
What does that mean? 🥺,confusion
That scared me! 😨,fear
Being a bit silly 😉,playful
This tech is amazing 🥶,cool
Really appreciate it 🥹,gratitude
Cool vibes only 🥶,cool
Disgusting behavior 🥴,disgust
What a lovely day 🙂,happy
In a playful mood 😉,playful
I love you 💕,love
I don't get it 😩,confusion
Sounds sketchy 🥸,suspicious
I love you 🫶🏻,love
I doubt that 🤔,suspicious
Thanks a ton 💐,gratitude
It didn’t go well 😔,disappointed
Sounds sketchy 🤨,suspicious
Feeling so good today 😄,happy
You made my day 😃,happy
Why did they do that? 😾,anger
Feeling so loved 💕,love
So heartbroken 😢,sadness
Tears won't stop 😿,sadness
Really? Are you sure? 🤔,suspicious
Feeling let down 😒,disappointed
Craving this meal again 😋,yummy
Feeling so good today 😁,happy
Happiness is real 😸,happy
Yuck! 🤢,disgust
Finding inner peace 😇,peaceful
Disappointed by the results 😔,disappointed
I'm furious right now 😾,anger
Yuck! 😖,disgust
I fear the worst 😰,fear
I just got a promotion 🙂,happy
Huh? 😕,confusion
That seems fishy 🥸,suspicious
Let’s joke around 😉,playful
What a lovely day ☺,happy
I’m at peace 😇,peaceful
Feeling really down 😭,sadness
Really appreciate it 🙏,gratitude
So excited to see you 🥳,excited
Eww that’s nasty 🥴,disgust
Feeling let down 😔,disappointed
Feeling so loved 😻,love
I'm terrified 😨,fear
Cool vibes only 🤓,cool
I’m at peace 😇,peaceful
Look at what I achieved 😏,pride
I miss them so much 😭,sadness
Feeling relaxed 😌,peaceful
Really? Are you sure? 🥸,suspicious
Goofing off with friends 😉,playful
Happiness is real ☺,happy
This is thrilling 🤩,excited
This means the world to me 😍,love
I'm terrified 😧,fear
Huh? 😣,confusion
Why did they do that? 😠,anger
What a lovely day 😀,happy
I’m lost 😫,confusion
I love you 😽,love
Thank you so much 🥹,gratitude
I'm terrified 😱,fear
Feeling so good today 😀,happy
I could eat this forever 🤤,yummy
Can't wait for the weekend 🤩,excited
So heartbroken 😢,sadness
In a playful mood 😉,playful
What a funny joke 😹,joy
Feeling so good today 😀,happy
Feeling so loved 😚,love
I fear the worst 🙀,fear
What does that mean? 😥,confusion
Being a bit silly 😛,playful
I’m proud of myself 😎,pride
This makes me mad 😤,anger
Eww that’s nasty 😵‍💫,disgust
In a playful mood 😼,playful
Finding inner peace 😌,peaceful
I love you 😚,love
Eww that’s nasty 😵‍💫,disgust
I just got a promotion 😆,happy
Makes me sick 😖,disgust
I don't get it 😓,confusion
I doubt that 🧐,suspicious
I'm furious right now 😡,anger
So confused right now 🥺,confusion
I love you 😽,love
Makes me sick 😵‍💫,disgust
Disgusting behavior 😵‍💫,disgust
LOL this is great 😂,joy
Feeling so loved 😻,love
I’m grateful 💐,gratitude
You're so funny 😹,joy
Thanks a ton 🙏,gratitude
Disgusting behavior 🥴,disgust
Yuck! 😖,disgust
This is hilarious 😅,joy
Feeling so loved 🩷,love
Feeling so good today 😃,happy
Feeling so good today 🙃,happy
It didn’t go well 😞,disappointed
What does that mean? 😕,confusion
I’m lost 😥,confusion
Such a scary movie 😧,fear
This makes me mad 🤬,anger
Proud moment 😏,pride
I'm furious right now 😠,anger
I’m lost 😥,confusion
Disappointed by the results 😒,disappointed
Feeling relaxed 😌,peaceful
What does that mean? ☹,confusion
Not happy with this 😞,disappointed
I’m lost 😫,confusion
That scared me! 😧,fear
"Wow, I’m shocked 😳",surprise
Yuck! 🥴,disgust
Blessed and thankful 💐,gratitude
So confused right now 😓,confusion
Feeling let down 😒,disappointed
Not happy with this 😞,disappointed
I can't stop laughing 🤣,joy
Feeling so good today 🙃,happy
Happiness is real 🥲,happy
You made my day 😊,happy
Feeling really down 😢,sadness
That's fine 😐,neutral
Feeling so loved 😘,love
Being a bit silly 😼,playful
I adore you 😍,love
Thanks a ton 💐,gratitude
I love you 🩷,love
I just got a promotion 😁,happy
I love you 😙,love
Huh? 😩,confusion
So confused right now 🥺,confusion
Huh? 😓,confusion
This makes me mad 😾,anger
Just want to cry 😿,sadness
Huh? 😩,confusion
That’s so cool 🥶,cool
Just want to cry 😿,sadness
LOL this is great 🤣,joy
I can't stop laughing 😂,joy
Feeling so loved 🥰,love
Let’s joke around 😜,playful
That’s gross 🤢,disgust
I love you 🥰,love
I’m lost 😓,confusion
Yuck! 🤮,disgust
Really appreciate it 🙏,gratitude
I don't get it 😣,confusion
You’re my everything 🩷,love
Look at what I achieved 😎,pride
I wasn’t expecting that! 😳,surprise
Huh? 😩,confusion
I'm furious right now 😡,anger
You made my day 😄,happy
I’m grateful 🙏,gratitude
This is hilarious 🤣,joy
I’m lost 😣,confusion
Craving this meal again 😋,yummy
Thanks a ton 💐,gratitude
Why did they do that? 🤬,anger
Freaked out right now 🙀,fear
You're awesome 😶‍🌫️,cool
No way! Really? 😳,surprise
You're so funny 🤣,joy
I don't get it 🥺,confusion
I adore you 🫶🏻,love
This means the world to me 😚,love
Let’s joke around 😉,playful
Really? Are you sure? 🧐,suspicious
I'm furious right now 😾,anger
I’m lost 😓,confusion
Blessed and thankful 🥹,gratitude
Happiness is real 😺,happy
This is thrilling 🤩,excited
LOL this is great 😅,joy
So confused right now 😫,confusion
I just got a promotion 😆,happy
Feeling so loved 😘,love
Okay. 😐,neutral
Happiness is real 😺,happy
Just playing around 😝,playful
So confused right now 😫,confusion
That blew my mind 😲,surprise
"Hmm, I don’t believe it 🧐",suspicious
Huh? 😫,confusion
You're awesome 🤓,cool
So confused right now 😓,confusion
Happiness is real 😆,happy
So heartbroken 😿,sadness
Feeling so loved 😘,love
You made my day ☺,happy
Happiness is real 🥲,happy
Feeling so loved 😗,love
I’m lost 🙁,confusion
That seems fishy 🤨,suspicious
Goofing off with friends 😝,playful
Yuck! 🤮,disgust
I love you 😘,love
What a lovely day 🙃,happy
Goofing off with friends 😝,playful
Freaked out right now 🙀,fear
Freaked out right now 😧,fear
I don't get it 😕,confusion
Prepping all night 😟,nervous
So tasty! 😋,yummy
Happiness is real 😸,happy
I just got a promotion 😆,happy
"Wow, I’m shocked 😲",surprise
I can't stop laughing 😹,joy
I just got a promotion 😺,happy
What a lovely day 🤭,happy
This is hilarious 🤣,joy
You’re my everything 💓,love
That's fine 😐,neutral
What a lovely day 😊,happy
That’s so cool 🤓,cool
I'm terrified 😰,fear
Hmm. 😐,neutral
I could eat this forever 😋,yummy
You’re my everything 💓,love
I just got a promotion 😄,happy
This means the world to me 🫶🏻,love
In a playful mood 😼,playful
I can't stop laughing 😅,joy
So confused right now 🙁,confusion
This makes me mad 😤,anger
Being a bit silly 🤪,playful
Let’s joke around 😼,playful
That seems fishy 🤨,suspicious
Huh? 😩,confusion
What does that mean? 😫,confusion
Disappointed by the results 😞,disappointed
I just got a promotion 😊,happy
I just got a promotion 🤭,happy
You're so funny 😂,joy
I fear the worst 😨,fear
Freaked out right now 😰,fear
Feeling relaxed 😌,peaceful
I wasn’t expecting that! 😲,surprise
"Hmm, I don’t believe it 🤔",suspicious
You made my day 😀,happy
What a lovely day 😺,happy
"Hmm, I don’t believe it 🥸",suspicious
I just got a promotion 😸,happy
I love you 🥰,love
Happiness is real 🤭,happy
Yum! That was good 🤤,yummy
This food is delicious 😋,yummy
You made my day 😸,happy
I’m proud of myself 😎,pride
I wasn’t expecting that! 😲,surprise
I’m meditating now 😇,peaceful
"Hmm, I don’t believe it 🥸",suspicious
Cool vibes only 🤓,cool
Makes me sick 🥴,disgust
Feeling so good today 😊,happy
Feeling chill 😶‍🌫️,cool
Happiness is real 🤭,happy
What a lovely day 😸,happy
That’s so cool 🥶,cool
This means the world to me 💕,love
I don't get it 😣,confusion
You’re my everything 😙,love
That scared me! 😰,fear
Anger boiling inside 😠,anger
Tears won't stop 😭,sadness
This food is delicious 🤤,yummy
Feeling so good today 😊,happy
Freaked out right now 😧,fear
In a playful mood 😜,playful
This means the world to me 😽,love
Yuck! 😖,disgust
Sounds sketchy 🤨,suspicious
Feeling so loved 🩷,love
This means the world to me 💓,love
That scared me! 😨,fear
I'm terrified 😨,fear
You’re my everything 😗,love
Being a bit silly 😛,playful
Feeling so loved 🫶🏻,love
Anger boiling inside 🤬,anger
I adore you 😻,love
I adore you 😻,love
Freaked out right now 🙀,fear
I doubt that 🤔,suspicious
That seems fishy 🧐,suspicious
You’re my everything 😽,love
Sounds sketchy 🥸,suspicious
Just want to cry 😢,sadness
That’s not what I expected 😒,disappointed
You made my day 🙂,happy
Happiness is real 😺,happy
Happiness is real 😁,happy
That’s so cool 🤓,cool
I love you 🥰,love
I’m lost 🥺,confusion
This makes me mad 😠,anger
So heartbroken 😢,sadness
Just want to cry 😭,sadness
This tech is amazing 🤓,cool
Being a bit silly 😛,playful
That’s so cool 🥶,cool
I don't get it 😩,confusion
I don't get it ☹,confusion
This means the world to me 😙,love
What does that mean? 😩,confusion
You’re my everything 😚,love
I love you 🥰,love
Let’s joke around 🤪,playful
"Ugh, not again 🙄",annoyance
This means the world to me 💕,love
Feeling so loved 😙,love
Feeling accomplished 😏,pride
Eww that’s nasty 😖,disgust
Happiness is real 🙃,happy
Anger boiling inside 🤬,anger
I can't stop laughing 🤣,joy
Yuck! 😵‍💫,disgust
I adore you 🩷,love
I'm terrified 😨,fear
Freaked out right now 😨,fear
So confused right now 😫,confusion
I’m lost 😥,confusion
I’m lost 🙁,confusion
Why did they do that? 😾,anger
Not happy with this 😒,disappointed
I can't stop laughing 🤣,joy
Anger boiling inside 😤,anger
What a lovely day 🥲,happy
You’re my everything 😚,love
This means the world to me 😻,love
Feeling really down 😿,sadness
"Wow, I’m shocked 😳",surprise
That’s not what I expected 😔,disappointed
Feeling let down 😞,disappointed
You made my day 🥲,happy
Craving this meal again 😋,yummy
Eww that’s nasty 🤮,disgust
Just playing around 😜,playful
"Ugh, not again 🙄",annoyance
In a playful mood 😜,playful
I'm so hyped! 🤩,excited
This means the world to me 😘,love
This makes me mad 😡,anger
Proud moment 😎,pride
This is hilarious 🤣,joy
Happiness is real 🤭,happy
I'm furious right now 😡,anger
I love you 😙,love
I doubt that 🧐,suspicious
I doubt that 🤨,suspicious
That concert was awesome 🥳,excited
What does that mean? 🥺,confusion
I fear the worst 😱,fear
Feeling so good today 🙃,happy
So tasty! 🤤,yummy
Feeling nervous for the exam 😟,nervous
Happiness is real 😸,happy
I’m proud of myself 😏,pride
Proud moment 😎,pride
"Hmm, I don’t believe it 🥸",suspicious
I fear the worst 😧,fear
You made my day 🙃,happy
Yuck! 🥴,disgust
Makes me sick 🤮,disgust
This makes me mad 🤬,anger
What a lovely day 😀,happy
Feeling so good today 😊,happy
I just got a promotion 😃,happy
Anger boiling inside 😡,anger
Such a scary movie 😧,fear
I love you 🥰,love
I’m grateful 🙏,gratitude
I adore you 😽,love
Feeling so good today ☺,happy
Thanks a ton 🙏,gratitude
This tech is amazing 🤓,cool
That concert was awesome 🥳,excited
Feeling so good today 😆,happy
Craving this meal again 🤤,yummy
What a lovely day 😄,happy
I don't get it 😩,confusion
You made my day 😄,happy
You made my day 😆,happy
No way! Really? 😳,surprise
This makes me mad 😠,anger
I can't stop laughing 😅,joy
I miss them so much 😭,sadness
Feeling so loved 😍,love
You made my day 🥲,happy
What a lovely day 😁,happy
What a lovely day 😀,happy
I just got a promotion 😊,happy
What a lovely day 😊,happy
What a lovely day 😃,happy
That’s not what I expected 😔,disappointed
Feeling accomplished 😎,pride
What a lovely day 🤭,happy
In a playful mood 😛,playful
What a lovely day 😀,happy
What a funny joke 😂,joy
Anger boiling inside 😾,anger
